Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Piper retrofractum Vahl.,Accepted source,Cavya is correlated to this species,241,Cavya,चव्य,cavya
Piper retrofractum Vahl.,Accepted source,This species is used as Cavya,241,Cavya,चव्य,cavya
Curcuma sp.,Most probable,May be interpreted as this species,242,Chadana,छदन,chadana
Ipomoea pes-caprae (Linn.) Sw.,Accepted source,Has been cited only in Susruta samhita; With regard to its name 'Chagalantri' it signifies a plant resembling the intestines of a goat which is entwined all over; This species shares similar features and hence identified with it,243,Chagalantri,छगलान्त्री,chagalāntrī
Ipomoea pes-caprae Sw.,Most probable,May be identified with this species,243,Chagalantri,छगलान्त्री,chagalāntrī
Arisaema sp.,Most probable,Chatradvaya is most probably identified with this species with regard to its features,244,Chatradvaya,छत्राद्वय,chatrādvaya
Agaricus campestris Linn.,Accepted source,It is identified with this species,245,Chatraka,छत्रक,chatraka
Agaricus campestris Linn.,Accepted source,It is identified with this species,245,Chatraka,छत्रक,chatraka
Cocculus hirsutus (Linn.) Diels.,Accepted source,It is identified with this species,246,Chilahinta,छिलहिण्ठ,chilahiṇṭha
Cocculus hirsutus (Linn.) Diels.,Accepted source,It is identified with this species,246,Chilahinta,छिलहिण्ठ,chilahiṇṭha
Cyprus esculentus Linn.,Most probable,Two types of Kaseru are mentioned in Bhavaprakasa nighantu 1.Rajakaseruka 2.Ciccodaka; This is the smaller variety and at some places the given species is correlated to Ciccodaka,247,Ciccotaka,चिच्चोटक,ciccoṭaka
Scirpus articulatus Linn.C.B. Clarke,Accepted source,In Bhavaprakasha nighantu it is mentioned as a type of 'Kaseru' where in Ciccodaka is the smaller variety; It is identified with this species and popularly known as 'Ciccoda',247,Ciccotaka,चिच्चोटक,ciccoṭaka
Trichosanthus anguina Linn.,Accepted source,Identified with it,248,Cicinda,चिचिण्ड,ciciṇḍa
Chenopodium album Linn.,Accepted source,Identified with it,249,Cilli,चिल्ली,cillī
Panicum miliaceum Linn.,Accepted source,It is identified with this species,251,Cinaka,चीनाक,cīnāka
Panicum miliaceum Linn.,Accepted source,It is identified with this species,251,Cinaka,चीनाक,cīnāka
Panicum milliaceum Linn.,Accepted source,Identified with it,250,Cina,चीन,cīna
Panicum milliaceum Linn.,Accepted source,Identified with it,250,Cina,चीन,cīna
Holoptelea integrifolia Planch.,Accepted source,It is identified with this species,252,Cirabilva,चिरबिल्व,cirabilva
Holoptelia integrifolia Planch.,Accepted source,Identified with it,252,Cirabilva,चिरबिल्व,cirabilva
Physalis minima Linn.,Accepted source,Cirapota' has been cited in Madanapala nighantu; It is identified with this species,253,Cirapota,चिरपोटा,cirapoṭā
Cucumis melo var. momordica Duthie and Fuller.,Accepted source,Identified with it,254,Cirbhata,चिर्भट,cirbhaṭa
Trichosanthes anguina Linn.,Most probable,Has been identified with this species by the commentators but as the name is multi meaning it indicates many plants of Cucurbitacae or Euphorbiacae family,255,Citra,चित्रा,citrā
Plumbago zeylanica Linn.,Accepted source,White variety of Citraka is correlated to this species,256,Citraka,चित्रक,citraka
Plumbago zeylanica Linn.,Accepted source,Identified with it,256,Citraka,चित्रक,citraka
Plumbago zeylanica Linn.,Accepted source,White variety of Citraka is correlated to this species,256,Citraka,चित्रक,citraka
Plumbago zeylanica Linn.,Accepted source,Identified with it,256,Citraka,चित्रक,citraka
Plumbago zeylanica Linn.,Accepted source,Identified with it,260,Citraka - sveta,चित्रक श्वेत,citraka śveta
Plumbago zeylanica Linn.,Accepted source,Identified with it,260,Citraka - sveta,चित्रक श्वेत,citraka śveta
Plumbago capensis,Accepted source,Black variety of Citraka is correlated to this species,257,Citraka - krsna,चित्रक कृष्ण,citraka kṛṣṇa
Plumbago capensis Thunb.,Most probable,May be identified with this species,257,Citraka - krsna,चित्रक कृष्ण,citraka kṛṣṇa
Plumbago auriculata Lam.,Market source,This species is correlated to the blue variety of Citraka. Its originally from South Africa,258,Citraka - prakara,चित्रक प्रकार,citraka prakāra
Plumbago indica Linn.,Accepted source,This species is correlated to the red variety of Citraka,258,Citraka - prakara,चित्रक प्रकार,citraka prakāra
Plumbago auriculata Lam.,Market source,This species is correlated to the blue variety of Citraka. Its originally from South Africa,258,Citraka - prakara,चित्रक प्रकार,citraka prakāra
Plumbago indica Linn.,Accepted source,This species is correlated to the red variety of Citraka,258,Citraka - prakara,चित्रक प्रकार,citraka prakāra
Plumbago rosea,Accepted source,Red variety of Citraka is correlated to this species,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Plumbago rosea Linn.,Accepted source,Identified with it,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Vogelia indica,Accepted source,There is another variety of the red Citraka being used in Abu and Girnar which is correlated to this species,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Plumbago rosea,Accepted source,Red variety of Citraka is correlated to this species,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Plumbago rosea Linn.,Accepted source,Identified with it,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Vogelia indica,Accepted source,There is another variety of the red Citraka being used in Abu and Girnar which is correlated to this species,259,Citraka - rakta,चित्रक रक्त,citraka rakta
Trichosanthes anguina Linn.,Most probable,May be identified with this species,261,Citraphala,चित्रफल,citraphala
Cinnamomum cassia Blume,Most probable,It has been identified with Tvak or Dalcini and correlated to this species,262,Coca,चोच,coca
Cinnamomum cassia Blume.,Accepted source,Identified with this species,262,Coca,चोच,coca
Cinnamomum tamala Nees and Eberm.,Most probable,It has been identified with Tvak or Dalcini and correlated to this species,262,Coca,चोच,coca
Smilax china Linn.,Accepted source,Identified with it,263,Copacini,चोपचीनी,copacīnī
Smilax glabra Roxb.,Substituted source,This species is used as a substitutein India,263,Copacini,चोपचीनी,copacīnī
Smilax lanceifolia Roxb.,Substituted source,This species is used as a substitutein India,264,Copacini - prajati,चोपचीनी प्रजाति,copacīnī prajāti
Smilax ovalifolia Roxb.,Substituted source,This species is used as a substitutein India,264,Copacini - prajati,चोपचीनी प्रजाति,copacīnī prajāti
Angela glauca,Accepted source,Coraka is correlated to this species,265,Coraka,चोरक,coraka
Angelica glauca Edgew,Accepted source,Identified with it,265,Coraka,चोरक,coraka
Angelica glauca Edgew.,Accepted source,Coraka' is identified with this species,265,Coraka,चोरक,coraka
Angelica glauca Edgw.,Accepted source,Identified with it,265,Coraka,चोरक,coraka
Angelica glauca Edgw.,Accepted source,Identified with it,265,Coraka,चोरक,coraka
Ficus altissima Blume.,Accepted source,Corakapatra has been cited just once in Susruta samhita and Dalhana in his commentary has identified it with 'Laksavrksa'; Its identified with this species,266,Corakapatra,चोरकपत्र,corakapatra
Ficus cunia Ham.,Accepted source,Corakapatra has been cited just once in Susruta samhita and Dalhana in his commentary has identified it with 'Laksavrksa'; Its identified with this species,266,Corakapatra,चोरकपत्र,corakapatra
Rumex vesicarius Linn.,Accepted source,It is identified with this species,267,Cukra,चुक्र,cukra
Rumex hastatus D. Don.,Accepted source,It is identified with this species,268,Cukra - prajati,चुक्र प्रजाति,cukra prajāti
Rumex acetosella Linn.,Most probable,This species is known by this name,269,Cukrika,चुक्रीका,cukrīkā
Rumex vesicarius Linn.,Accepted source,Identified with it,269,Cukrika,चुक्रीका,cukrīkā
Corchorus sp.,Most probable,May be identified with this species,270,Cuncuparnika,चुञ्चूपर्णिका,cuñcūparṇikā
Mucuna sp.,Accepted source,Its identified with this species,271,Dadhipuspi,दधिपुष्पी,dadhipuṣpī
Punica granatum Linn.,Accepted source,Identified with it,272,Dadima,दाडिम,dāḍima
Punica granatum Linn.,Accepted source,Identified with it,272,Dadima,दाडिम,dāḍima
Punica granatum Linn.,Accepted source,Identified with it,272,Dadima,दाडिम,dāḍima
Artemisia vulgaris Linn.,Accepted source,Identified with it,273,Damanaka,दमनक,damanaka
Averrhoa carambola Linn.,Accepted source,Dantasatha is dentified with this species; Mentioned in Caraka and Susruta under the amla varga (sour group) and amla phala (sour fruits); Nowadays it is popular by the name 'Karmaranga',274,Dantasatha,दन्तशठ,dantaśaṭha
Baliospermum montamum,Accepted source,Danti is correlated to this species,275,Danti,दन्ती,dantī
Baliospermum montanum Muell- Arg.,,,275,Danti,दन्ती,dantī
Baliospermum montanum Muell.-Arg.,Accepted source,Identified with it,275,Danti,दन्ती,dantī
Balisopermum montanum,Accepted source,Danti is correlated to this species,275,Danti,दन्ती,dantī
Jatropha glandulifera Roxb.,Adulterated source,Roots of this species are sold in the market as Danti,275,Danti,दन्ती,dantī
Ricinus communis,Adulterated source,Roots of this species otherwise known as Eranda are sold in the market as Danti,275,Danti,दन्ती,dantī
Croton sp.,Accepted source,Dhanvantari and Raja nighantu have mentioned 'Arani' and 'Jayapala' as 'Danti bheda'. They are identified with this species,276,Danti - bheda,दन्ती भेद,dantī bheda
Desmostachya bipinnata Stapf,Accepted source,Identified with it,277,Darbha,दर्भ,darbha
Imperata cylindrica Beauv.,Accepted source,"In Samhitas, Kusa and Darbha have been mentioned together but as two separate plants; Commencing from the period of Vagbhata, Kusa and Darbha were used as substitutes for each other; Due to this reason during later periods they were considered as one single drug; Most of the nighantus have mentioned 'Darbhadvaya' and explained them seperately but at some places they have been mentioned as synonyms of each other; Darbha is identified with this species",277,Darbha,दर्भ,darbha
Berberis aristata DC.,Accepted source,Identified with it,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis aristata DC.,Accepted source,Daruharidra is correlated to this species,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis aristata DC.,Accepted source,Identified with it,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis asiatca Rox.,Suggested source,This species is used in medicines as Daruharidra,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis asiatica Roxb. ex DC.,Accepted source,Identified with it,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis aslatica,Accepted source,Daruharidra is correlated to this species,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis lycium Royle,Suggested source,This species is used in medicines as Daruharidra,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis lycium Royle.,Accepted source,Identified with it,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis lycum,Accepted source,Daruharidra is correlated to this species,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis vulgaris Linn.,Accepted source,Identified with it,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Coscinium fenestratum,Controversial,This species is used as Daruharidra in Sri lanka and South India,278,Daruharidra,दारुहरिद्रा,dāruharidrā
Berberis asiatica Roxb.,Market source,This species is a variety of B.aristata and correlated to Daruharidra,279,Daruharidra - prajati,दारुहरिद्रा प्रजाति,dāruharidrā prajāti
Berberis lycium Royle.,Market source,This species resembles Daruharidra so it is mixed along with it and sold in the market,279,Daruharidra - prajati,दारुहरिद्रा प्रजाति,dāruharidrā prajāti
Coscinium fenestratum (Gaertn.) Colebr.,Market source,This species resembles Daruharidra so it is mixed along with it and sold in the market,279,Daruharidra - prajati,दारुहरिद्रा प्रजाति,dāruharidrā prajāti
Luffa echinata Roxb.,Accepted source,Identified with it,280,Devadali,देवदाली,devadālī
Luffa echinata Roxb.,Accepted source,Identified with it,280,Devadali,देवदाली,devadālī
Luffa echinata Roxb.,Accepted source,Identified with it,283,Devadali - sveta,देवदाली श्वेत,devadālī śveta
Luffa echinata Roxb.,Accepted source,Identified with it,283,Devadali - sveta,देवदाली श्वेत,devadālī śveta
Luffa graveolens Roxb.,Most probable,May be identified with this species which is scarcely found,281,Devadali - pita,देवदाली पीत,devadālī pīta
Luffa graveolens Roxb.,Most probable,May be identified with this species which is scarcely found,281,Devadali - pita,देवदाली पीत,devadālī pīta
Luffa graveolens Roxb.,Accepted source,Identified with it,282,Devadali - prajati,देवदाली प्रजाति,devadālī prajāti
Luffa graveolens Roxb. var. longystyla Clarke.,Accepted source,This species has yellow coloured flowers and is a variety of Luffa echinata,282,Devadali - prajati,देवदाली प्रजाति,devadālī prajāti
Luffa graveolens Roxb.,Accepted source,Identified with it,282,Devadali - prajati,देवदाली प्रजाति,devadālī prajāti
Luffa graveolens Roxb. var. longystyla Clarke.,Accepted source,This species has yellow coloured flowers and is a variety of Luffa echinata,282,Devadali - prajati,देवदाली प्रजाति,devadālī prajāti
Cedrus deodara (Roxb.) Loud.,Accepted source,Identified with it,284,Devadaru,देवदारु,devadāru
Cedrus deodara (Roxb.) Loud.,Accepted source,Identified with it,284,Devadaru,देवदारु,devadāru
Albizzia sp.,Accepted source,Devasarsapa' has been explained under the variety of 'Sirisa' so it is correlated to some species of Albizia,285,Devasarsapa,देवसर्षप,devasarṣapa
Coriandrum sativum Linn.,Accepted source,Identified with it,286,Dhaanya,धान्य,dhānya
Oryza sativa Linn.,Accepted source,Identified with it,286,Dhaanya,धान्य,dhānya
Luffa cylindrica (Linn.) M. Roem.,Accepted source,Identified with it,287,Dhamargava,धामार्गव,dhāmārgava
Luffa cylindrica (Linn.) M.J. Roem.,Accepted source,Identified with it,287,Dhamargava,धामार्गव,dhāmārgava
Fagonia cretica Linn.,Suggested source,Identified with it,288,Dhanva,धन्व,dhanva
Grewia optiva Drummon.,Suggested source,Identified with it,289,Dhanvana,धन्वन,dhanvana
Grewia tiliaefolia Vahl,Accepted source,Identified with it,289,Dhanvana,धन्वन,dhanvana
Grewia tiliaefolia Vahl.,Accepted source,Identified with it,289,Dhanvana,धन्वन,dhanvana
Fagonia cretica Linn.,Accepted source,Dhanvayasa is correlated to this species,290,Dhanvayasa,धन्वयास,dhanvayāsa
Fagonia cretica Linn.,Accepted source,Identified with it,290,Dhanvayasa,धन्वयास,dhanvayāsa
Coriandrum sativum Linn.,Accepted source,Identified with it,291,Dhanyaka,धान्यक,dhānyaka
Coriandrum sativum Linn.,Accepted source,Identified with it,291,Dhanyaka,धान्यक,dhānyaka
Oryza sativa Linn.,Accepted source,Identified with it,291,Dhanyaka,धान्यक,dhānyaka
Colocasia sp.,Accepted source,Identified with this species,292,Dharanikanda,धारणीकन्द,dhāraṇīkanda
Woodfordia fruticosa Kurz.,Accepted source,Identified with it,293,Dhataki,धातकी,dhātakī
Woodfordia fruticosa Kurz.,Accepted source,Identified with this species,293,Dhataki,धातकी,dhātakī
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,294,Dhattura,धत्तूर,dhattūra
Datura metel Linn.,Accepted source,Identified with it,294,Dhattura,धत्तूर,dhattūra
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,294,Dhattura,धत्तूर,dhattūra
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,294,Dhattura,धत्तूर,dhattūra
Datura metel Linn.,Accepted source,Identified with it,294,Dhattura,धत्तूर,dhattūra
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,294,Dhattura,धत्तूर,dhattūra
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,294,Dhattura,धत्तूर,dhattūra
Datura metel Linn.,Accepted source,Identified with it,294,Dhattura,धत्तूर,dhattūra
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,294,Dhattura,धत्तूर,dhattūra
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura innoxia Mill.,Accepted source,This species is originally from Mexico but found all over India,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura stramonium Linn.,Accepted source,This species is the black variety of Dhattura found around 8000 feet above Himalaya,295,Dhattura -prajati,धत्तूर प्रजाति,dhattūra prajāti
Datura metel Linn.,Accepted source,Identified with it,299,Dhuttura,धुत्तूर,dhuttūra
Datura metel Linn.,Accepted source,Identified with it,299,Dhuttura,धुत्तूर,dhuttūra
Datura metel Linn.,Accepted source,Identified with it,299,Dhuttura,धुत्तूर,dhuttūra
Anogeissus latifolia Wall.,Accepted source,Identified with it,296,Dhava,धव,dhava
Anogeissus latifulia Wall.,Accepted source,Identified with it,296,Dhava,धव,dhava
Lagerstroemia parviflora Roxb.,Most probable,Poplular names of this plant are reported to be used for this species,296,Dhava,धव,dhava
Mitragyna parviflora korth.,Accepted source,Identified with this species,297,Dhulikadamba,धूलिकदम्ब,dhūlikadamba
Mitragyna rotundifolia ( Roxb.) Kuntze.,Accepted source,Identified with this species,298,Dhulikadamba - jati,धूलिकदम्ब जाति,dhūlikadamba jāti
Mitragyna tubulosa (Arn.) Kuntze. ?,Accepted source,Identified with this species,298,Dhulikadamba - jati,धूलिकदम्ब जाति,dhūlikadamba jāti
Datura stramonium Linn.,Accepted source,Identified with it,300,Dhuttura - krsna,धुत्तूर कॄष्ण,dhuttūra kṝṣṇa
Cymbopogon sp.,Accepted source,Identified with it,301,Dhyama,ध्याम,dhyāma
Valeriana pyrolaefolia Decne.,Accepted source,"In Caraka samhita, 'Dhyamaka' is mentioned among the fragrant drugs; With references from Susruta samhita we can know that 'Dhyamaka' is a blackish coloured fragrant drug; Cakrapani has interpreted it as 'Gandhatrna' and Dalhana as 'Kattrna', so according to them it was a grass variety but it is not; With all the above references regarding its morphology it should be considered as a plant from the 'Mamsi' family; According to the author it is identified with this species which has resemblance with 'Mamsi'",302,Dhyamaka,ध्यामक,dhyāmaka
Indigofera oblongifolia Fosk.,Accepted source,Has been mentioned in Sodala nighantu; Its identified with this species and popularly known as 'Jhilla' in Gujarat,303,Dilla,डिल्ल,ḍilla
Citrullus vulgaris Schrad. Var. fistulosus (Stocks,Accepted source,It is identified with this species,304,Dindisa,डिण्डिश,ḍiṇḍiśa
Vitis vinefera Linn.,,,305,Draksa,द्राक्षा,drākṣā
Vitis vinifera Linn.,Accepted source,Identified with it,305,Draksa,द्राक्षा,drākṣā
Vitis vinifera Linn.,Accepted source,Identified with it,305,Draksa,द्राक्षा,drākṣā
Baliospermum sinuatum Muell-Arg.,Accepted source,This species has features which are similar to the ones described about Dravanti hence it is identified with this species,306,Dravanti,द्रवन्ती,dravantī
Croton tiglium Linn.,Accepted source,Dravanti is correlated to this species,306,Dravanti,द्रवन्ती,dravantī
Croton tiglium Linn.,Controversial,Not yet identifed due to the confusion regarding its description in the Nighantus,306,Dravanti,द्रवन्ती,dravantī
Jatropha glandulifera,Accepted source,Dravanti is correlated to this species,306,Dravanti,द्रवन्ती,dravantī
Jatropha curcas Linn.,Accepted source,Identified with this species,307,Dravanti - prajati,द्रवन्ती प्रजाति,dravantī prajāti
Jatropha gossipifolia Linn.,Accepted source,Identified with this species,307,Dravanti - prajati,द्रवन्ती प्रजाति,dravantī prajāti
Araceae,Suggested source,May be considered as this species as it has all characters resembling to the plant,308,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī
Leucas cephalotes Spreng.,Accepted source,Identified with this species,308,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī
Leucas sp.,Accepted source,Identified with this species,308,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī
Leucas sp.,Accepted source,Dronapuspi has been mentioned in Raja nighantu and identified with this species,308,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī
Leucas sp.,Most probable,Dronapuspi is most probably correlated to this species,308,Dronapuspi,द्रोणपुष्पी,droṇapuṣpī
Capparis zeylanica Linn.,Most probable,May be considered as the fruit of Capparis,309,Duduraka,डुडुरक,ḍuḍuraka
Taraxacum officinale Weber ex Wiggers.,Accepted source,Identified with it,310,Dugdhapheni,दुग्धफेनी,dugdhaphenī
Taraxacum officinale Weber.,Accepted source,Identified with it,310,Dugdhapheni,दुग्धफेनी,dugdhaphenī
Daemia extensa,Suggested source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudhili; This species is suggested as it supports the above statements,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia hirta Linn.,Most probable,It may be identified with this species. This name appears to be used for a wide variety of plants that are lactiferous as the name Dugdhika indicates,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia hypericifolia Linn.,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia litra Linn.,Accepted source,Dugdhika is correlated to this species,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia microphylla Heyne.,Most probable,It may be identified with this species. This name appears to be used for a wide variety of plants that are lactiferous as the name Dugdhika indicates,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia Onicrophylla,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia thymifolia,Substituted source,Dugdhika means a plant which has milk or latex so it is suggested to take such plants with this feature and those which are known by the word Dudhi or Dudheli; This species is suggested as it supports the above statements,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia thymifolia Linn.,Accepted source,Identified with this species,311,Dugdhika,दुग्धिका,dugdhikā
Euphorbia thymifolia Linn.,Accepted source,Identified with this species,311,Dugdhika,दुग्धिका,dugdhikā
Biophytum sensitivum DC.,Accepted source,Has been mentioned in Sodala; Widely known as 'Lajauni' in Uttar Pradesh; According to Kato Bhatt it is 'Jharer' which is correlated to this species,312,Dulupuspa,डुलुपुष्प,ḍulupuṣpa
Cynodon dactylon (Linn.) Pers.,Accepted source,Identified with it,313,Durva,दूर्वा,dūrvā
Cynodon dactylon Pers.,Accepted source,Identified with it,313,Durva,दूर्वा,dūrvā
Cynodon dactylon (Linn.) Pers.,Accepted source,Identified with it,313,Durva,दूर्वा,dūrvā
Cynodon dactylon Pers.,Accepted source,Identified with it,313,Durva,दूर्वा,dūrvā
Cynodon dactylon Pers. Var. suberectum,Accepted source,Identified with it,314,Durva - prakara,दूर्वा प्रकार,dūrvā prakāra
Cynodon dactylon Pers. Var. suberectum,Accepted source,Identified with it,314,Durva - prakara,दूर्वा प्रकार,dūrvā prakāra
Smilax china Linn.,Accepted source,It is a type of 'Vaca' which is identified with this species,315,Dvipantaravaca,द्वीपान्तरवचा,dvīpāntaravacā
Bridelia retusa Spreng.,Accepted source,Has been mentioned in Raja nighantu; Identified with it,316,Ekavira,एकवीर,ekavīra
Rheum nobile Hook. f. & Thomas.,Suggested source,It has been cited in Raja nighantu; This species is known as 'Ekla bir' which is suggested as Ekavira,316,Ekavira,एकवीर,ekavīra
Elettaria cardamomum Maton,Accepted source,Identified with it,317,Ela,एला,elā
Elettaria cardamomum Maton.,Accepted source,Identified with it,317,Ela,एला,elā
Peucedanum Grande C. B. C.,Controversial,This species is considered as the bigger variety of Ela in Kerala,317,Ela,एला,elā
Elettaria cardamomum Maton,Accepted source,Identified with it,317,Ela,एला,elā
Elettaria cardamomum Maton.,Accepted source,Identified with it,317,Ela,एला,elā
Peucedanum Grande C. B. C.,Controversial,This species is considered as the bigger variety of Ela in Kerala,317,Ela,एला,elā
Elletaria cardamomum,Accepted source,Suksma ela is correlated to this species,322,Ela - suksma,एला सूक्ष्म,elā sūkṣma
Elletaria cardamomum,Accepted source,Suksma ela is correlated to this species,322,Ela - suksma,एला सूक्ष्म,elā sūkṣma
Elettaria cardamomum Maton. Var. major Thw.,Accepted source,This species is the bigger variety of ELA found n Srilanka,318,Ela - bheda,एला भेद,elā bheda
Elettaria cardamomum Maton. Var. minor Watt.,Accepted source,This species is the smaller variety of Ela,318,Ela - bheda,एला भेद,elā bheda
Amomum aromaticum Roxb.,Suggested source 2,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum subulatum Roxb.,Suggested source 1,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum aromaticum Roxb.,Suggested source 2,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum subulatum Roxb.,Suggested source 1,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum aromaticum Roxb.,Suggested source 2,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum subulatum Roxb.,Suggested source 1,Identified with it,319,Ela - brhat,एला बृहत्,elā bṛhat
Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,320,Ela - sthula,एला स्थूल,elā sthūla
Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,320,Ela - sthula,एला स्थूल,elā sthūla
Amomum Aromaticum Roxb.,Accepted source,This is the big variety of ela which is identified with this species,320,Ela - sthula,एला स्थूल,elā sthūla
Amomum Subulatum Roxb.,Accepted source,Is another variety of sthula ela (big) which is identified with this species,321,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra
Amomum Subulatum Roxb.,Accepted source,Is another variety of sthula ela (big) which is identified with this species,321,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra
Amomum Subulatum Roxb.,Accepted source,Is another variety of sthula ela (big) which is identified with this species,321,Ela - sthula prakara,एला स्थूल प्रकार,elā sthūla prakāra
Alpinia galanga Willd.,Most probable,May be identified with this species which is a synonym of Rasna and used as Rasna in the south,323,Elaparni,एलापर्णी,elāparṇī
Prunus cerasus Linn.,Accepted source,Has been identified with this sp.,324,Elavaluka,एलवालुक,elavāluka
Typha laxmannii Lepech.,Accepted source,Its identified with this species,325,Eraka,एरका,erakā
Ricinus communis Linn.,Accepted source,Identified with it,326,Eranda,एरण्ड,eraṇḍa
Ricinus communis Linn.,Accepted source,Eranda is correlated to this species,326,Eranda,एरण्ड,eraṇḍa
Ricinus communis Linn.,Accepted source,Identified with it,326,Eranda,एरण्ड,eraṇḍa
Carica papaya Linn.,Accepted source,Erandakarkati is correlated to this species,327,Erandakarkati,एरण्डकर्कटी,eraṇḍakarkaṭī
Carica papaya Linn.,Accepted source,Erandakarkati is correlated to this species,327,Erandakarkati,एरण्डकर्कटी,eraṇḍakarkaṭī
Cucumis utilissimus Roxb.,Accepted source,Identified with it,329,Ervaru,एर्वारु,ervāru
Cucumis utilissimus Linn.,Accepted source,Identified with it,330,Ervaruka,एर्वारुक,ervāruka
Cucumis melo var. momordica Duthie and Fuller.,Most probable,May be identified with this species,331,Gajacirbhata,गजचिर्भट,gajacirbhaṭa
Cucumis melo var. utilissimus Duthie and Fuller.,Most probable,May be identified with this species,331,Gajacirbhata,गजचिर्भट,gajacirbhaṭa
Piper chaba Hunter.,Accepted source,Gajapippali is identified with this species,332,Gajapippali,गजपिप्पली,gajapippalī
Piper chaba Hunter.,Most probable,Has been considered as a probable source plant as its properties are similar to Gajapippali. With regard to its rare occurance it creates a doubt,332,Gajapippali,गजपिप्पली,gajapippalī
Scindapsus officinalis Schott.,Most probable,Has been considered as a probable source plant. This species has been used since long for this plant,332,Gajapippali,गजपिप्पली,gajapippalī
Scindapsus sp.,Suggested source,Some consider this species to be 'Gajapippali' as it resembles the plant 'Pippali' but 'Gajapippali' is nowhere included among the variety of 'Pippali' and hence cannot be correlated to this species,332,Gajapippali,गजपिप्पली,gajapippalī
Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,333,Gambhari,गम्भारी,gambhārī
Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,333,Gambhari,गम्भारी,gambhārī
Gmelina arborea Linn.,Accepted source,Gambhari is correlated to this species,333,Gambhari,गम्भारी,gambhārī
